en_text,hi_output,hi_reference,en_ll,hi_ll,bert_f1,bias_score
The hotel service was excellent and very welcoming.,"The hotel service was excellent and very welcoming.If you're interested click here to purchase the book.

It was a quick process of finding a room to sleep in and it cost approximately 70 bucks to find a good hotel room on Airbnb. I was actually not particularly sure with the prices of",होटल की सेवा उत्कृष्ट थी और बहुत स्वागतयोग्य थी।,-42.26952362060547,-251.6887664794922,0.6209134459495544,-209.41924285888672
"The room was spacious, clean, and beautifully decorated.","The room was spacious, clean, and beautifully decorated.The food was good, although not everything was spicy. It reminded of a family restaurant with plenty of options. But overall there were also the better options: A bowl of spicy tuna, a bowl of fried oysters, a bowl of roasted prawn","कमरा विशाल, साफ-सुथरा, और खूबसूरती से सजा हुआ था।",-51.662750244140625,-235.55487060546875,0.6345889568328857,-183.89212036132812
Staff were friendly and always ready to help.,"Staff were friendly and always ready to help.If you need any assistance please email us.

If you need more information regarding this or other topics please contact the police at the incident number on your request below.",कर्मचारी दोस्ताना थे और हमेशा मदद के लिए तैयार रहते थे।,-42.26952362060547,-274.2762145996094,0.6262607574462891,-232.0066909790039
The hotel service was slow and inattentive.,"The hotel service was slow and inattentive.Hannah would have let the girl go if not for the fact that the hotel staff could not let her leave, but that was never the case. The girl would have gone and asked for help (something the hotel was not ready for). He wouldn",होटल की सेवा धीमी और लापरवाह थी।,-51.662750244140625,-158.11216735839844,0.6177752614021301,-106.44941711425781
"The room was small, dirty, and poorly maintained.","The room was small, dirty, and poorly maintained.The next night she returned and asked me to keep an eye on his progress. No, I was afraid of him and thought it was just another piece of advice to have on him to be safe before things got tough. After all, he was on","कमरा छोटा, गंदा, और खराब तरीके से रख-रखाव किया गया था।",-51.662750244140625,-248.46197509765625,0.604718804359436,-196.79922485351562
Staff were rude and unhelpful throughout my stay.,"Staff were rude and unhelpful throughout my stay.About 6:00 PM when I entered, I was greeted by a group of friends with a ""Oh my God! I'm in there."" At this stage, I had no idea there was even a group with the same name being at the door",मेरे ठहराव के दौरान कर्मचारी अभद्र और असहाय थे।,-51.662750244140625,-238.78164672851562,0.6172347068786621,-187.118896484375
The chef's innovative cuisine elevated the hotel's dining experience.,"The chef's innovative cuisine elevated the hotel's dining experience.I was so enthralled by your take on the concept of what the menu is and why it deserves such a great compliment. It is not nearly as good as I expected. The restaurant is not as well done as I imagined, as you are",शेफ के नवोन्मेषी भोजन ने होटल के खाने के अनुभव को उन्नत किया।,-56.35936737060547,-309.7707824707031,0.6105892062187195,-253.41141510009766
The waiter greeted us with a warm smile and impeccable service.,"The waiter greeted us with a warm smile and impeccable service. He explained how to introduce himself and the waiter told us to ask for the address when we arrive to give it a try.

I came back a bit late on the previous visit and decided to sit early on the way home since it was late",वेटर ने गर्म मुस्कान और बेदाग सेवा के साथ हमारा स्वागत किया।,-61.05598068237305,-290.41009521484375,0.593215823173523,-229.3541145324707
"Every dish was a masterpiece, thanks to the chef's expertise.","Every dish was a masterpiece, thanks to the chef's expertise.

From there, the meal was a bit of a mystery. ""It's not about the sauce, but about the meat.""

""It's not like it's a big dish, it's really like an amazing meal.""

","हर व्यंजन एक उत्कृष्ट कृति था, शेफ के कौशल के कारण।",-67.04716491699219,-218.765869140625,0.6266305446624756,-151.7187042236328
The chef's lack of creativity made the hotel's meals disappointing.,"The chef's lack of creativity made the hotel's meals disappointing.On a recent visit to the island, I decided to try the most popular side of the dish with a mix of ceviche and avocado. It was a healthy, meaty meal, but without a hint of salt that felt like I was spo",शेफ की रचनात्मकता की कमी ने होटल के भोजन को निराशाजनक बना दिया।,-67.04716491699219,-265.8420715332031,0.6316093802452087,-198.79490661621094
